DT,TYPE,NKB,S_UAH,S_FXU,S_FXD
2018-06-01,DFOOS,129,55762552.400000006,66161526.34,2531450.474266789
2018-06-01,DFOOS,133,76229731.17000002,86906357.6,3325182.357987891
2018-06-01,DFOOS,136,6745767643.559999,6200260177.55,237232307.5857931
2018-06-01,DFOOS,142,1980684433.73,265051683.5,10141319.993937824
2018-06-01,DFOOS,143,245685063.11999997,391813385.48999995,14991434.378730154
2018-06-01,DFOOS,146,134952251.95000002,214688958.66000003,8214358.045895408
2018-06-01,DFOOS,153,577250182.1,606440292.8199999,23203418.23712647
2018-06-01,DFOOS,171,2856074331.73,3805366711.7000003,145599684.58992505
2018-06-01,DFOOS,205,131223808.53999999,98016471.96,3750273.885067377
2018-06-01,DFOOS,231,192600435.22,78996412.00999999,3022534.6316895317
2018-06-01,DFOOS,240,196215534.18999997,51692425.92999999,1977838.532080325
2018-06-01,DFOOS,241,107289877.67999999,30472574.930000003,1165931.5999189925
2018-06-01,DFOOS,242,1253774685.95,1201893053.74,45986435.15678121
2018-06-01,DFOOS,251,316864186.16999996,607696475.14,23251481.87026256
2018-06-01,DFOOS,270,1825986876.92,1986734166.9000003,76015766.67375655
2018-06-01,DFOOS,272,9903802868.77,15105921966.84,577977798.3156219
2018-06-01,DFOOS,274,8389131077.36,9285563531.900002,355281165.76191205
2018-06-01,DFOOS,286,286584835.42,195931007.01999998,7496647.494126546
2018-06-01,DFOOS,288,139714929.25,355060310.31000006,13585200.352068579
2018-06-01,DFOOS,290,102914947.28000002,195779887.91,7490865.4246392995
2018-06-01,DFOOS,295,1034266.3600000001,19415048.299999997,742852.1672002829
2018-06-01,DFOOS,296,4992482778.65,5198961382.93,198920943.7351815
2018-06-01,DFOOS,297,10876854.799999999,1759.99,67.34015623081537
2018-06-01,DFOOS,298,2268175816.2799997,2513914329.91,96186559.99580958
2018-06-01,DFOOS,305,582616601.2600001,1891384284.8100002,72367520.9697864
2018-06-01,DFOOS,311,7080204.23,5193688.5200000005,198719.1951948546
2018-06-01,DFOOS,313,34.82,0,0.0
2018-06-01,DFOOS,320,612276480.1500001,1023558925.5,39163073.62804079
2018-06-01,DFOOS,325,1324848862.74,112324324.67000002,4297716.221000478
2018-06-01,DFOOS,326,120140922.89999999,128879186.56,4931132.880215682
2018-06-01,DFOOS,329,15144420.47,27534993.450000003,1053534.8273214493
2018-06-01,DFOOS,331,18026659.330000002,204423510.73,7821584.866851493
2018-06-01,DFOOS,377,83969630.12000002,104339059.27,3992186.633002519
2018-06-01,DFOOS,381,88574132.3,428511284.28000003,16395557.264576808
