DT,TYPE,S_UAH,S_FXU,S_FXD
2020-03-01,LSGNET,206053796183.33972,174213182394.5,7093081812.4058485
2020-03-01,OVDPp,241670760000,80033418472.09999,3258556999.8004966
2020-04-01,DFOOS,323311578354.4202,276941039655.06,9869074698.610563
2020-04-01,DSG,308307965277.34033,229234357341.66992,8168998711.461259
2020-04-01,DSNBp,108922000000,0,0.0
2020-04-01,LFONET,141015590226.77,5117581223.280003,182370194.86770135
2020-04-01,LSGNET,225125696425.05988,193428103114.35,6893006543.283504
2020-04-01,OVDPp,246018243000,99407824297.0,3542498594.052349
2020-05-01,DFOOS,346252778178.26996,259441726371.16,9619141993.784515
2020-05-01,DSG,308981842392.00964,222171534298.1099,8237300781.49855
2020-05-01,DSNBp,132009000000,0,0.0
2020-05-01,LFONET,134740684287.10991,5010563284.210001,185773199.91583672
2020-05-01,LSGNET,217492218480.6798,183084302162.87988,6788090427.744946
2020-05-01,OVDPp,253446763000,97222249932.59999,3604642322.3340287
2020-06-01,DFOOS,350687553566.3901,258612077531.8,9611723730.921457
2020-06-01,DSG,320336039355.3602,225074807838.18,8365258468.892694
2020-06-01,DSNBp,124592000000,0,0.0
2020-06-01,LFONET,134058306302.32016,4867466380.969998,180907027.11933064
2020-06-01,LSGNET,211396358437.77008,177674899653.1802,6603566491.110869
2020-06-01,OVDPp,295711471000,99154505714.59999,3685232819.366756
2020-07-01,DFOOS,359159680840.8599,257364174357.08987,9641924395.781916
2020-07-01,DSG,336824706274.2101,219907161780.3401,8238630078.462626
2020-07-01,DSNBp,97175000000,0,0.0
2020-07-01,LFONET,134041524365.28998,4605083469.27,172525436.9917053
2020-07-01,LSGNET,210856832345.91,177099641984.63983,6634883673.306809
2020-07-01,OVDPp,313859649000,102151166614.80005,3827004391.3502827
2020-08-01,DFOOS,359869237699.78015,271709245981.6201,9812079822.240927
2020-08-01,DSG,351672917027.6101,233562298741.0898,8434501043.327328
2020-08-01,DSNBp,94423000000,0,0.0
2020-08-01,LFONET,135658952323.40012,4578941728.0999975,165356690.66096565
2020-08-01,LSGNET,212772944333.24023,185335648148.90002,6692919731.067157
2020-08-01,OVDPp,319091262000,104529861477.6,3774826803.9998126
2020-09-01,DFOOS,357430281775.55054,270208842162.09015,9834394584.420883
2020-09-01,DSG,361250552560.62006,226638299309.57004,8248621494.093727
2020-09-01,DSNBp,99920000000,0,0.0
2020-09-01,LFONET,138124559490.86,4421814180.660003,160934279.88382536
2020-09-01,LSGNET,211224191680.05957,187661890462.77985,6830054355.372525
2020-09-01,OVDPp,316692749000,96004046832.79999,3494118366.743219
2020-10-01,DFOOS,363412805572.98035,276745898381.65967,9779387127.473505
2020-10-01,DSG,377893834979.17957,240663361078.26,8504336249.050672
2020-10-01,DSNBp,113774000000,0,0.0
2020-10-01,LFONET,139410151868.1,4361229783.87,154113049.76059136
2020-10-01,LSGNET,217064988008.6198,191266763722.34988,6758805597.473752
2020-10-01,OVDPp,328368565000,100892628762.09999,3565249135.5529723
2020-11-01,DFOOS,370275584506.6001,278807020675.91974,9803927122.082544
2020-11-01,DSG,390082257540.59924,241298175757.46,8484971877.97654
2020-11-01,DSNBp,114318000000,0,0.0
2020-11-01,LFONET,140372124688.58005,4142214717.3799973,145656200.17300612
2020-11-01,LSGNET,223764643720.9298,190186525833.8799,6687689694.316473
2020-11-01,OVDPp,345451600000,100127665378.90001,3520873799.731347
2020-12-01,DFOOS,374310037595.8798,280477289830.47015,9852336117.635895
2020-12-01,DSG,389393336717.65985,242941845297.05005,8533827171.361971
2020-12-01,DSNBp,109066000000,0,0.0
2020-12-01,LFONET,143011577972.9601,4045391591.200002,142102619.81656674
2020-12-01,LSGNET,228727944045.0403,190216930572.6199,6681757144.755709
2020-12-01,OVDPp,355096762000,102739835239.70001,3608945986.549858
